Variable:,pr
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1901,650.64,1372.86,529.15,221.18,877.22,535.97,370.71,1446.71,1157.47,1150.61,1519.74,1417.14,1969.86,446.29,647.86,765.64,624.56,527.42,949.82,1213.32,1215.36,1168.16,1345.49,722.03,635.50,1244.24,634.91,376.53,557.87,242.47,1160.86,1298.32,324.10,1113.60,1499.32,456.63,850.75,563.12,720.65,1138.70,1427.47,1380.73,498.25,1166.65,457.44,268.31,1051.23,1291.48,1010.32,1230.73,670.82,340.65
1902,713.02,1269.01,529.21,208.71,1322.56,591.69,373.25,1337.34,1286.58,1225.28,1362.98,1293.26,2563.92,459.42,1046.14,1008.41,1080.51,814.87,1147.50,1164.80,1200.77,1259.65,1210.56,799.40,695.58,1246.29,1135.51,378.57,688.41,177.44,1210.79,1411.87,271.04,1108.19,1120.88,452.79,971.09,963.32,860.89,1150.30,1216.45,1170.73,454.44,1250.45,667.15,236.69,1158.21,1098.89,1211.64,1147.56,822.40,268.40
1903,678.95,1257.75,503.04,204.17,1103.31,482.08,361.34,1317.78,1208.45,1128.38,1482.36,1341.51,1902.34,447.33,882.33,942.59,864.94,742.34,1075.62,1266.39,997.22,1181.91,1165.88,816.89,776.67,1164.25,1021.71,374.40,621.40,187.83,1014.45,1387.68,266.39,1123.61,1253.46,455.19,927.07,727.69,690.42,1150.76,1235.61,1281.91,484.07,1218.94,624.74,255.56,970.48,1137.16,1064.32,1118.19,906.86,315.16
1904,644.87,998.74,486.69,222.36,1049.76,668.59,381.87,1092.73,998.66,933.22,1206.83,925.84,2313.99,464.65,937.03,957.91,728.67,743.98,942.01,1094.38,1042.80,956.32,1082.79,723.62,636.93,1047.74,1048.08,280.65,562.03,259.07,984.61,1091.70,318.18,1006.03,1106.83,424.07,917.98,742.37,891.63,1007.38,1119.48,1011.53,398.30,1016.29,612.61,286.09,921.70,921.22,1081.92,873.03,772.17,328.02
1905,751.03,1429.68,517.26,507.94,1509.64,493.43,468.98,971.94,1086.13,1141.30,1474.95,1256.45,1805.85,401.85,926.45,1063.10,913.20,761.76,1226.02,1875.80,906.04,1137.96,988.83,849.06,826.16,1590.25,1148.51,360.56,766.32,209.31,990.49,1071.71,448.36,1045.99,1318.11,482.43,1005.35,1008.61,590.31,1064.74,974.03,1155.35,581.91,1328.35,832.23,339.32,990.52,1135.49,948.59,1168.69,875.10,367.40
1906,752.42,1387.48,512.95,373.02,1387.36,806.74,495.32,1083.15,1300.25,1236.87,1403.57,1364.70,1827.12,558.59,944.12,1014.24,811.92,698.98,1274.94,1226.05,1092.90,1257.45,1098.43,787.44,769.99,1361.17,998.71,457.88,651.55,311.08,1028.41,1208.34,388.55,990.74,1384.79,513.78,934.58,924.08,788.34,1053.45,1115.86,1364.02,586.04,1375.36,694.88,439.29,973.32,1225.75,1128.53,1198.66,867.06,396.97
1907,714.20,1414.50,532.27,354.73,1221.15,654.83,405.20,1149.62,1268.77,1140.73,1261.16,1226.38,2238.06,540.54,1036.46,1127.49,807.92,650.07,1275.88,1365.99,1144.18,1227.83,1132.75,762.28,585.63,1342.78,1027.07,415.15,491.52,286.95,1094.44,1288.13,377.07,992.71,1228.80,356.86,1090.61,837.42,869.67,1110.91,1161.58,1191.99,424.35,1241.46,660.60,376.32,1048.55,1158.21,977.30,1359.15,742.49,353.54
1908,696.57,1278.74,503.60,355.85,1276.23,436.40,419.13,954.41,1023.91,1001.37,1276.24,1232.13,1645.41,435.84,894.93,876.34,881.86,789.38,1083.96,1409.47,943.95,1004.63,933.88,756.32,719.26,1354.21,1075.25,445.59,652.12,224.67,852.22,1088.51,317.94,878.68,1426.21,467.61,877.48,1157.12,580.52,978.40,1029.50,1341.46,566.48,1187.21,683.43,376.60,823.61,1185.76,948.01,1097.26,761.43,395.19
1909,718.28,1469.59,492.79,323.82,1114.88,836.47,473.47,1095.51,1010.07,901.42,1311.79,1217.05,1814.99,569.73,1104.88,1199.42,988.68,751.95,1317.45,1329.59,1154.48,957.44,1079.67,827.23,720.92,1465.26,1141.88,455.79,619.56,300.96,967.36,1052.85,297.21,952.82,1161.78,463.13,1092.14,662.51,856.49,950.15,1135.83,1132.72,509.16,1345.18,495.19,437.52,966.85,983.37,1076.01,1122.39,798.75,374.95
1910,593.18,1166.67,498.88,237.34,1107.42,367.42,322.10,1024.92,1068.19,922.34,1310.27,1134.83,2010.55,448.79,804.24,947.48,519.19,486.33,1219.20,1218.70,906.79,984.41,941.01,650.58,394.81,1173.29,941.02,348.74,421.76,185.48,901.00,993.36,230.49,987.91,1216.37,315.01,954.06,516.48,692.00,968.52,957.87,1154.01,337.94,1157.90,438.32,278.83,975.72,1058.10,1077.46,1062.07,532.62,253.83
